title,love,score,tags,play_times
夏目友人帐 第六季,219.1万追番,9.8,"['催泪', '奇幻', '日常', '治愈']",5003.7万
地狱少女,218.7万追番,9.7,"['原创', '神魔']",1926.9万
诸神的逆鳞,218万追番,4.7,"['漫画改', '热血', '战斗', '奇幻']",5990.5万
魔法少女小圆,217.1万追番,9.8,"['奇幻', '魔法', '穿越', '原创']",4139.7万
博人传 火影忍者新时代,215.6万追番,4.4,"['热血', '架空', '冒险']",29000.0万
我立于百万生命之上,215.4万追番,8.3,"['漫画改', '穿越']",6429.4万
在地下城寻求邂逅是否搞错了什么 第二季,212.9万追番,9.0,"['小说改', '奇幻', '战斗', '冒险']",5415.1万
弱势角色友崎君,211万追番,9.1,"['小说改', '校园', '恋爱']",5150.7万
One Room 第三季,210.7万追番,9.8,"['日常', '恋爱', '治愈', '泡面']",2312.4万
双星之阴阳师,209.2万追番,8.6,"['热血', '奇幻', '战斗', '冒险']",10000.0万
ReLIFE,209万追番,9.9,"['校园', '恋爱', '搞笑', '治愈']",2802.6万
无论何时我们的恋情都是10厘米。～告白实行委员会～,208.8万追番,9.6,"['恋爱', '音乐', '原创', '校园']",2309万
戒律的复活,208.7万追番,9.7,"['热血', '战斗', '漫画改', '架空']",9698.5万
世界尽头的圣骑士,208.5万追番,6.3,"['小说改', '奇幻', '战斗', '治愈']",4938万
pop子和pipi美的日常,207.8万追番,8.7,"['搞笑', '漫画改']",6248.5万
邻座的怪同学,206.8万追番,9.6,"['搞笑', '少女', '校园']",5648.6万
我立于百万生命之上（第二季）,205.1万追番,8.0,"['漫画改', '穿越', '奇幻']",2427.3万
One Room,204.4万追番,9.7,"['泡面', '日常']",3959.5万
强风吹拂,202.2万追番,9.9,"['运动', '励志', '小说改', '热血']",5282.2万
百变小樱,201.4万追番,9.9,"['少女', '魔法']",9823.1万
学战都市Asterisk,201.3万追番,8.4,"['校园', '奇幻', '战斗', '架空']",8756万
成神之日,201.2万追番,5.8,"['恋爱', '催泪', '日常', '搞笑']",4539.3万
无能力者娜娜,199.9万追番,9.4,"['漫画改', '校园', '智斗', '催泪']",4315.7万
请问您今天要来点兔子吗？,199.4万追番,9.7,"['萌系', '日常', '美食', '治愈']",2368.4万
半妖的夜叉姬,199.3万追番,4.7,"['原创', '穿越', '奇幻', '战斗']",3515.5万
异世界食堂,197.4万追番,9.5,"['小说改', '奇幻', '美食', '架空']",5279.8万
无限滑板 / SK8 the Infinity,196.4万追番,9.6,"['原创', '热血', '战斗']",4966.5万
神之塔,194.9万追番,9.3,"['漫画改', '战斗', '奇幻', '冒险']",5533.6万
剑姬神圣谭 在地下城寻求邂逅是否搞错了什么 外传,194.6万追番,9.7,"['小说改', '奇幻', '架空', '神魔']",1048.7万
火影忍者 疾风传,194.5万追番,9.6,"['热血', '战斗', '漫画改', '架空']",17000.0万
黑执事,192.9万追番,9.8,['漫画改'],3560.4万
终将成为你,192.5万追番,9.8,"['恋爱', '校园', '漫画改']",2783.7万
异想食堂  / 异世界食堂 第二季,192万追番,9.8,"['美食', '治愈', '小说改']",561.9万
忧国的莫里亚蒂,191.7万追番,9.6,"['漫画改', '智斗', '声控', '架空']",2765.5万
弹丸论破,191.6万追番,9.3,"['推理', '校园']",5768.4万
我太受欢迎了该怎么办,190.2万追番,9.1,"['乙女', '漫画改', '校园']",5226.3万
Love Live! School Idol Project,188.9万追番,9.7,"['校园', '音乐', '偶像', '社团']",3096.6万
街角魔族,187.1万追番,9.8,"['漫画改', '日常', '萌系', '搞笑']",4007.4万
齐木楠雄的灾难（日播&精选版）,186.7万追番,9.6,"['奇幻', '校园', '泡面', '漫画改']",23000.0万
我们无法一起学习！,185.9万追番,5.3,"['漫画改', '日常', '校园', '恋爱']",3889.3万
我们无法一起学习,185.8万追番,9.2,"['漫画改', '日常', '校园', '恋爱']",5291.5万
格莱普尼尔,185.8万追番,8.9,"['漫画改', '奇幻', '战斗']",4472.4万
